27330|C|Manufacture of current-carrying and non current-carrying wiring devices for electrical circuits regardless of material
27400|C|Manufacture of electric lighting equipment
27500|C|Manufacture of domestic appliances
27900|C|Manufacture of miscellaneous electrical equipment other than motors, generators and transformers, batteries and accumulators, wires and wiring devices, lighting equipment or domestic appliances
28110|C|Manufacture of engines and turbines, except aircraft, vehicle and cycle engines
28120|C|Manufacture of fluid power equipment
28130|C|Manufacture of other pumps, compressors, taps and valves
28140|C|Manufacture of bearings, gears, gearing and driving elements
28150|C|Manufacture of ovens, furnaces and furnace burners
28160|C|Manufacture of lifting and handling equipment
28170|C|Manufacture of office machinery and equipment (except computers and peripheral equipment)
28180|C|Manufacture of power-driven hand tools with self-contained electric or non-electric motor or pneumatic drives
28191|C|Manufacture of refrigerating or freezing industrial equipment
28192|C|Manufacture of air-conditioning machines, including for motor vehicles
28199|C|Manufacture of other general-purpose machinery n.e.c.
28210|C|Manufacture of agricultural and forestry machinery
28220|C|Manufacture of metal-forming machinery and machine tools
28230|C|Manufacture of machinery for metallurgy
28240|C|Manufacture of machinery for mining, quarrying and construction
28250|C|Manufacture of machinery for food, beverage and tobacco processing
28260|C|Manufacture of machinery for textile, apparel and leather production
28290|C|Manufacture of other special-purpose machinery n.e.c.
29101|C|Manufacture of passenger cars
29102|C|Manufacture of commercial vehicles
29200|C|Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi- trailers
29300|C|Manufacture of parts and accessories for motor vehicles
30110|C|Building of ships and floating structures
30120|C|Building of pleasure and sporting boats
30200|C|Manufacture of railway locomotives and rolling stock
30300|C|Manufacture of air and spacecraft and related machinery
30400|C|Manufacture of military fighting vehicles
30910|C|Manufacture of motorcycles
30920|C|Manufacture of bicycles and invalid carriages
30990|C|Manufacture of other transport equipments n.e.c.
31001|C|Manufacture of wooden and cane furniture
31002|C|Manufacture of metal furniture
31003|C|Manufacture of mattress
31009|C|Manufacture of other furniture, except of stone, concrete or ceramic
32110|C|Manufacture of jewellery and related articles
32120|C|Manufacture of imitation jewellery and related articles
32200|C|Manufacture of musical instruments
32300|C|Manufacture of sports goods
32400|C|Manufacture of games and toys
32500|C|Manufacture of medical and dental instrument and supplies
32901|C|Manufacture of stationery
32909|C|Other manufacturing n.e.c.
33110|C|Repair of fabricated metal products
33120|C|Repair and maintenance of industrial machinery and equipment
33131|C|Repair and maintenance of the measuring, testing, navigating and control equipment
33132|C|Repair and maintenance of irradiation, electro medical and electrotherapeutic equipment
33133|C|Repair of optical instruments and photographic equipment
33140|C|Repair and maintenance of electrical equipment except domestic appliances
33150|C|Repair and maintenance of transport equipment except motorcycles and bicycles
33190|C|Repair and maintenance of other equipment n.e.c.
33200|C|Installation of industrial machinery and equipment
35101|D|Operation of generation facilities that produce electric energy
35102|D|Operation of transmission, distribution and sales of electricity
35201|D|Manufacture of gaseous fuels with a specified calorific value, by purification, blending and other processes from gases of various types including natural gas
35202|D|Transportation, distribution and supply of gaseous fuels of all kinds through a system of mains
35203|D|Sale of gas to the user through mains
35301|D|Production, collection and distribution of steam and hot water for heating, power and other purposes
35302|D|Production and distribution of cooled air, chilled water for cooling purposes
35303|D|Production of ice, including ice for food and non-food (e.g. cooling) purposes
36001|E|Purification and distribution of water for water supply purposes
36002|E|Desalting of sea or ground water to produce water as the principal product of interest
37000|E|Sewerage and similar activities
38111|E|Collection of non-hazardous solid waste (i.e. garbage) within a local area
38112|E|Collection of recyclable materials
38113|E|Collection of refuse in litter-bins in public places
38114|E|Collection of construction and demolition waste
38115|E|Operation of waste transfer stations for non-hazardous waste
38121|E|Collection of hazardous waste
38122|E|Operation of waste transfer stations for hazardous waste
38210|E|Treatment and disposal of non-hazardous waste
38220|E|Treatment and disposal of hazardous waste
38301|E|Mechanical crushing of metal waste
38302|E|Dismantling of automobiles, computers, televisions and other equipment for material recover
38303|E|Reclaiming of rubber such as used tires to produce secondary raw material
38304|E|Reuse of rubber products
38309|E|Materials recovery n.e.c.
39000|E|Remediation activities and other waste management services
41001|F|Residential buildings
41002|F|Non-residential buildings
41003|F|Assembly and erection of prefabricated constructions on the site
41009|F|Construction of buildings n.e.c.
42101|F|Construction of motorways, streets, roads, other vehicular and pedestrian ways
42102|F|Surface work on streets, roads, highways, bridges or tunnels
42103|F|Construction of bridges, including those for elevated highways
42104|F|Construction of tunnels
42105|F|Construction of railways and subways
42106|F|Construction of airfield/airports runways
42109|F|Construction of roads and railways n.e.c.
42201|F|Long-distance pipelines, communication and power lines
42202|F|Urban pipelines, urban communication and power lines; ancillary urban works
42203|F|Water main and line construction
42204|F|Reservoirs
42205|F|Construction of irrigation systems (canals)
42206|F|Construction of sewer systems (including repair) and sewage disposal plants
42207|F|Construction of power plants
42209|F|Construction of utility projects n.e.c.
42901|F|Construction of refineries
42902|F|Construction of waterways, harbour and river works, pleasure ports (marinas), locks
42903|F|Construction of dams and dykes
42904|F|Dredging of waterways
42905|F|Outdoor sports facilities
42906|F|Land subdivision with land improvement
42909|F|Construction of other engineering projects n.e.c.
43110|F|Demolition or wrecking of buildings and other structures
43121|F|Clearing of building sites
43122|F|Earth moving
43123|F|Drilling, boring and core sampling for construction, geophysical, geological or similar purposes
43124|F|Site preparation for mining
43125|F|Drainage of agricultural or forestry land
43126|F|Land reclamation work
43129|F|Other site preparation activities n.e.c.
43211|F|Electrical wiring and fittings
43212|F|Telecommunications wiring
43213|F|Computer network and cable television wiring
43214|F|Satellite dishes
43215|F|Lighting systems
43216|F|Security systems
43219|F|Electrical installation n.e.c.
43221|F|Installation of heating systems (electric, gas and oil)
43222|F|Installation of furnaces, cooling towers
43223|F|Installation of non-electric solar energy collectors
43224|F|Installation of plumbing and sanitary equipment
43225|F|Installation of ventilation, refrigeration or air-conditioning equipment and ducts
43226|F|Installation of gas fittings
43227|F|Installation of fire and lawn sprinkler systems
43228|F|Steam piping
43229|F|Plumbing, heat and air-conditioning installation n.e.c.
43291|F|Installation of elevators, escalators in buildings or other construction projects
43292|F|Installation of automated and revolving doors in buildings or other construction projects
43293|F|Installation of lighting conductors in buildings or other construction projects
43294|F|Installation vacuum cleaning systems in buildings or other construction projects
43295|F|Installation thermal, sound or vibration insulation in buildings or other construction projects
43299|F|Other construction installation n.e.c.
43301|F|Installation of doors, windows, door and window frames of wood or other materials, fitted kitchens, staircases, shop fittings and furniture
43302|F|Laying, tiling, hanging or fitting in buildings or other construction projects of various types of materials
43303|F|Interior and exterior painting of buildings
43304|F|Painting of civil engineering structures
43305|F|Installation of glass, mirrors
43306|F|Interior completion
43307|F|Cleaning of new buildings after construction
43309|F|Other building completion and finishing work n.e.c.
43901|F|Construction of foundations, including pile driving
43902|F|Erection of non-self-manufactured steel elements
43903|F|Scaffolds and work platform erecting and dismantling
43904|F|Bricklaying and stone setting
43905|F|Construction of outdoor swimming pools
43906|F|Steam cleaning, sand blasting and similar activities for building exteriors
43907|F|Renting of construction machinery and equipment with operator (e.g. cranes)
43909|F|Other specialized construction activities, n.e.c.
45101|G|Wholesale and retail of new motor vehicles
45102|G|Wholesale and retail of used motor vehicles
45103|G|Sale of industrial, commercial and agriculture vehicles - new
45104|G|Sale of industrial, commercial and agriculture vehicles - used
45105|G|Sale by commission agents
45106|G|Car auctions
45109|G|Sale of other motor vehicles n.e.c.
45201|G|Maintenance and repair of motor vehicles
45202|G|Spraying and painting
45203|G|Washing and polishing (car wash)
45204|G|Repair of motor vehicle seats
45205|G|Installation of parts and accessories not as part of the manufacturing process
45300|G|Wholesale and retail sale of all kinds of parts, components, supplies, tools and accessories for motor vehicles
45401|G|Wholesale and retail sale of motorcycles
45402|G|Wholesale and retail sale of parts and accessories for motorcycles
45403|G|Repair and maintenance of motorcycles
46100|G|Wholesale on a fee or contract basis
46201|G|Wholesale of rubber
46202|G|Wholesale of palm oil
46203|G|Wholesale of lumber and timber
46204|G|Wholesale of flowers and plants
46205|G|Wholesale of livestock
46209|G|Wholesale of agricultural raw material and live animal n.e.c.
46311|G|Wholesale of meat, poultry and eggs
46312|G|Wholesale of fish and other seafood
46313|G|Wholesale of fruits
46314|G|Wholesale of vegetables
46319|G|Wholesale of meat, fish, fruits and vegetables n.e.c.
46321|G|Wholesale of rice, other grains, flour and sugars
46322|G|Wholesale of dairy products
46323|G|Wholesale of confectionary
46324|G|Wholesale of biscuits, cakes, breads and other bakery products
46325|G|Wholesale of coffee, tea, cocoa and other beverages
46326|G|Wholesale of beer, wine and spirits
46327|G|Wholesale of tobacco, cigar, cigarettes
46329|G|Wholesale of other foodstuffs
46411|G|Wholesale of yarn and fabrics
46412|G|Wholesale of household linen, towels, blankets
46413|G|Wholesale of clothing
46414|G|Wholesale of clothing accessories
46415|G|Wholesale of fur articles
46416|G|Wholesale of footwear
46417|G|Wholesale of haberdashery
46419|G|Wholesale of textiles, clothing n.e.c.
46421|G|Wholesale of pharmaceutical and medical goods
46422|G|Wholesale of perfumeries, cosmetics, soap and toiletries
46431|G|Wholesale of bicycles and their parts and accessories
46432|G|Wholesale of photographic and optical goods
46433|G|Wholesale of leather goods and travel accessories
46434|G|Wholesale of musical instruments, games and toys, sports goods
46441|G|Wholesale of handicrafts and artificial flowers
46442|G|Wholesale of cut flowers and plants
46443|G|Wholesale of watches and clocks
46444|G|Wholesale of jewellery
46491|G|Wholesale of household furniture
46492|G|Wholesale of household appliances
46493|G|Wholesale of lighting equipment
46494|G|Wholesale of household utensils and cutlery, crockery, glassware, chinaware and pottery
46495|G|Wholesale of woodenware, wickerwork and corkware
46496|G|Wholesale of electrical and electronic goods
46497|G|Wholesale of stationery, books, magazines and newspapers
46499|G|Wholesale of other household goods n.e.c.
46510|G|Wholesale of computer hardware, software and peripherals
46521|G|Wholesale of telephone and telecommunications equipment, cell phones, pagers
46522|G|Wholesale of electronic components and wiring accessories
46531|G|Wholesale of agricultural machinery, equipment and supplies
46532|G|Wholesale of lawn mowers however operated
46591|G|Wholesale of office machinery and business equipment, except computers and computer peripheral equipment
46592|G|Wholesale of office furniture
46593|G|Wholesale of computer-controlled machines tools
46594|G|Wholesale of industrial machinery, equipment and supplies
46595|G|Wholesale of construction and civil engineering machinery and equipment
46596|G|Wholesale of lift escalators, air-conditioning, security and fire fighting equipment
46599|G|Wholesale of other machinery for use in industry, trade and navigation and other services n.e.c.
46611|G|Wholesale of petrol, diesel, lubricants
46612|G|Wholesale of liquefied petroleum gas
46619|G|Wholesale of other solid, liquid and gaseous fuels and related products n.e.c.
46621|G|Wholesale of ferrous and non-ferrous metal ores and metals
